date,gross_return,turnover,cost,net_return,nav
2023-02-24,-0.0029527376466388436,0.0,0.0,-0.0029527376466388436,1.1222509206363054
2023-02-27,-0.005046244286442927,0.8022740071049321,0.001203411010657398,-0.006249655297100325,1.115237239225475
2023-02-28,0.003931551613354628,0.0,0.0,0.003931551613354628,1.119621851992625
2023-03-01,0.007254676980026254,0.0,0.0,0.007254676980026254,1.1277443468686104
2023-03-02,-0.0005332106039797214,0.0,0.0,-0.0005332106039797214,1.127143021624282
2023-03-03,0.0007033118663223354,0.0,0.0,0.0007033118663223354,1.1279357546864328
2023-03-06,0.0008590752044473206,0.8632294750103089,0.0012948442125154634,-0.00043576900806814286,1.1274442352414484
2023-03-07,-0.00328674009602192,0.0,0.0,-0.00328674009602192,1.1237386190674516
2023-03-08,-0.0033057737762425296,0.0,0.0,-0.0033057737762425296,1.1200237934091875
2023-03-09,-0.0012017713808456984,0.0,0.0,-0.0012017713808456984,1.118677780868402
2023-03-10,-0.00402357659965087,0.0,0.0,-0.00402357659965087,1.1141766951267507
2023-03-13,0.010720707672026117,1.0988415926009345,0.001648262388901402,0.009072445283124715,1.124285002229021
2023-03-14,0.0041716801422490134,0.0,0.0,0.0041716801422490134,1.1289751596470483
2023-03-15,-0.0001731694167292668,0.0,0.0,-0.0001731694167292668,1.1287796556771503
2023-03-16,0.0021936335109311225,0.0,0.0,0.0021936335109311225,1.1312557845563012
2023-03-17,0.01056575646548594,0.0,0.0,0.01056575646548594,1.1432083576760952
2023-03-20,0.008789782107373523,0.4228693374400339,0.0006343040061600509,0.008155478101213472,1.1525317684022467
2023-03-21,-0.00456150914150121,0.0,0.0,-0.00456150914150121,1.1472744842048093
2023-03-22,-0.0026209925755566197,0.0,0.0,-0.0026209925755566197,1.144267486299583
2023-03-23,0.007745064035553362,0.0,0.0,0.007745064035553362,1.153129911254775
2023-03-24,0.003968980038153201,0.0,0.0,0.003968980038153201,1.1577066608539428
2023-03-27,-0.00518966756691595,0.6392605117603538,0.0009588907676405308,-0.006148558334556481,1.1505884339153778
2023-03-28,-0.0034311369011526633,0.0,0.0,-0.0034311369011526633,1.1466406074817312
2023-03-29,-0.0014912407939526697,0.0,0.0,-0.0014912407939526697,1.144930690231852
2023-03-30,0.0019532766961737253,0.0,0.0,0.0019532766961737253,1.1471670566678158
2023-03-31,0.00834040634025039,0.0,0.0,0.00834040634025039,1.1567348960605743
2023-04-03,0.008667845400257359,0.49241370928113504,0.0007386205639217026,0.007929224836335656,1.165906907127474
2023-04-04,0.0050357882345677075,0.0,0.0,0.0050357882345677075,1.1717781674129877
2023-04-06,-0.0009935118407820402,0.0,0.0,-0.0009935118407820402,1.1706139919288931
2023-04-07,0.003325452713629354,0.0,0.0,0.003325452713629354,1.1745068134049654
2023-04-10,-0.012779369173837273,0.49948755440400927,0.000749231331606014,-0.013528600505443288,1.1586173799354884
