fund_code,fund_name,fund_family,share_class,fund_type,etf_symbol,etf_name,underlying_name,asset_class,mapping_score,mapping_confidence,mapping_method,etf_rows_valid,etf_median_amount_60d,executable
007815,嘉实新兴科技100ETF联接A,嘉实新兴科技100ETF联接,A,指数型-股票,515860,科技ETF嘉实,科技,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1635,9439767.5,True
007817,国泰中证全指通信设备ETF联接A,国泰中证全指通信设备ETF联接,A,指数型-股票,515880,通信ETF国泰,通信,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1661,4901833216.5,True
007839,汇添富中证长三角ETF联接A,汇添富中证长三角ETF联接,A,指数型-股票,512650,长三角ETF汇添富,长三角,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1631,5170971.0,True
007842,南华中证杭州湾区ETF联接A,南华中证杭州湾区ETF联接,A,指数型-股票,512870,杭州湾区ETF南华,杭州湾区,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1744,172223.5,True
007856,易方达中证800ETF联接A,易方达中证800ETF联接,A,指数型-股票,515810,中证800ETF易方达,中证800,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1632,14982237.5,True
007873,华宝科技ETF联接A,华宝科技ETF联接,A,指数型-股票,515000,科技ETF华宝,科技,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1676,174841386.5,True
007885,国联中证500ETF联接A,国联中证500ETF联接,A,指数型-股票,515550,中证500ETF国联,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1574,1597584.5,True
007910,大成有色金属期货ETF联接A,大成有色金属期货ETF联接,A,指数型-其他,159980,有色ETF大成,有色,commodity,100.0,HIGH,name_underlying_issuer_v1,1590,414815924.0,True
007932,鹏华中证500ETF联接A,鹏华中证500ETF联接,A,指数型-股票,159982,中证500ETF鹏华,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1555,16603857.0,True
007937,华夏饲料豆粕期货ETF联接A,华夏饲料豆粕期货ETF联接,A,指数型-其他,159985,豆粕ETF华夏,豆粕,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1603,231352776.5,True
007983,申万菱信中证研发创新100ETF联接A,申万菱信中证研发创新100ETF联接,A,指数型-股票,515200,创新100ETF申万菱信,创新100,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1617,4604895.5,True
007992,华夏中证全指证券公司ETF联接A,华夏中证全指证券公司ETF联接,A,指数型-股票,515010,证券ETF华夏,证券,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1623,58947075.0,True
008020,华富中证人工智能产业ETF联接A,华富中证人工智能产业ETF联接,A,指数型-股票,515980,人工智能ETF华富,人工智能,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1563,382961771.5,True
008052,工银湾创100ETF联接A,工银湾创100ETF联接,A,指数型-股票,159976,湾创ETF工银,湾创,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1569,210930.0,True
008086,华夏中证5G通信主题ETF联接A,华夏中证5G通信主题ETF联接,A,指数型-股票,515050,通信ETF华夏,通信,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1639,1356720544.5,True
008088,华夏房地产ETF联接A,华夏房地产ETF联接,A,指数型-股票,515060,房地产ETF华夏,房地产,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1583,44532413.0,True
008142,工银黄金ETF联接A,工银黄金ETF联接,A,指数型-其他,518660,黄金ETF工银,黄金,commodity,100.0,HIGH,name_underlying_issuer_v1,1488,204345887.0,True
008154,嘉实中证医药健康100策略ETF联接A,嘉实中证医药健康100策略ETF联接,A,指数型-股票,515960,医药ETF嘉实,医药,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1480,7780411.5,True
008163,南方标普红利低波50ETF联接A,南方标普红利低波50ETF联接,A,指数型-股票,515450,红利低波50ETF南方,红利低波50,equity_dividend,100.0,HIGH,name_underlying_issuer_v1,1551,213206150.0,True
008189,国泰中证钢铁ETF联接A,国泰中证钢铁ETF联接,A,指数型-股票,515210,钢铁ETF国泰,钢铁,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1548,93756391.5,True
008258,中银证券中证500ETF联接A,中银证券中证500ETF联接,A,指数型-股票,515190,中证500ETF中银证券,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1478,5785520.0,True
008279,国泰中证煤炭ETF联接A,国泰中证煤炭ETF联接,A,指数型-股票,515220,煤炭ETF国泰,煤炭,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1548,887261824.0,True
008281,国泰CES半导体芯片行业ETF联接A,国泰CES半导体芯片行业ETF联接,A,指数型-股票,512760,芯片ETF国泰,芯片,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1722,678202889.0,True
008291,民生加银沪深300ETF联接A,民生加银沪深300ETF联接,A,指数型-股票,515350,沪深300ETF民生加银,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1564,5568674.5,True
008298,华夏中证银行ETF联接A,华夏中证银行ETF联接,A,指数型-股票,515020,银行ETF华夏,银行,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1605,119287850.0,True
008390,国联安沪深300ETF联接A,国联安沪深300ETF联接,A,指数型-股票,515660,沪深300ETF国联安,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1590,2949310.5,True
008396,博时中证500ETF联接A,博时中证500ETF联接,A,指数型-股票,159968,中证500ETF博时,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1628,15618880.0,True
008585,华夏人工智能ETF联接A,华夏人工智能ETF联接,A,指数型-股票,515070,人工智能ETF华夏,人工智能,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1590,279027091.5,True
008590,天弘中证全指证券公司ETF联接A,天弘中证全指证券公司ETF联接,A,指数型-股票,159841,证券ETF天弘,证券,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1315,308577720.5,True
008701,华夏黄金ETF联接A,华夏黄金ETF联接,A,指数型-其他,518850,黄金ETF华夏,黄金,commodity,100.0,HIGH,name_underlying_issuer_v1,1483,407027734.5,True
008749,富国中证科技50策略ETF联接A,富国中证科技50策略ETF联接,A,指数型-股票,515750,科技50ETF富国,科技50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1602,14769442.0,True
008776,华安沪深300ETF联接A,华安沪深300ETF联接,A,指数型-股票,515390,沪深300ETF华安,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1578,138633821.0,True
008827,建信易盛郑商所能源化工期货ETF联接A,建信易盛郑商所能源化工期货ETF联接,A,指数型-其他,159981,能源化工ETF建信,能源化工,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1573,474936918.5,True
008887,华夏国证半导体芯片ETF联接A,华夏国证半导体芯片ETF联接,A,指数型-股票,159995,芯片ETF华夏,芯片,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1563,1495985658.5,True
008889,银华中证5G通信主题ETF联接A,银华中证5G通信主题ETF联接,A,指数型-股票,159994,通信ETF银华,通信,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1549,264314430.5,True
008907,汇添富中证国企一带一路ETF联接A,汇添富中证国企一带一路ETF联接,A,指数型-股票,515990,一带一路ETF汇添富,一带一路,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1570,1210588.0,True
008916,华夏中证浙江国资创新发展ETF联接A,华夏中证浙江国资创新发展ETF联接,A,指数型-股票,515760,浙江国资ETF华夏,浙江国资,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1400,4752203.5,True
008926,泰康沪深300ETF联接A,泰康沪深300ETF联接,A,指数型-股票,515380,沪深300ETF泰康,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1533,18382235.5,True
008944,摩根MSCI中国A股ETF联接A,摩根MSCI中国A股ETF联接,A,指数型-股票,515770,MSCI中国A股ETF摩根,MSCI中国A股,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1473,2711766.0,True
008975,富国中证消费50ETF联接A,富国中证消费50ETF联接,A,指数型-股票,515650,消费50ETF富国,消费50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1621,54201344.0,True
008986,广发上海金ETF联接A,广发上海金ETF联接,A,指数型-其他,518600,金ETF广发,金,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1442,202868177.0,True
